Outlier Method,Scaling Method,CV F1 Mean,CV F1 Std,Samples Removed,Samples Used
zscore,robust,0.9529,0.0060,61,1075
zscore,minmax,0.9529,0.0060,61,1075
zscore,standard,0.9529,0.0060,61,1075
zscore,none,0.9529,0.0060,61,1075
isolation_forest,robust,0.9512,0.0076,57,1079
isolation_forest,minmax,0.9512,0.0076,57,1079
isolation_forest,standard,0.9512,0.0076,57,1079
isolation_forest,none,0.9512,0.0076,57,1079
none,robust,0.9511,0.0117,0,1136
none,minmax,0.9511,0.0117,0,1136
none,standard,0.9511,0.0117,0,1136
none,none,0.9511,0.0117,0,1136
iqr,robust,0.9486,0.0159,179,957
iqr,minmax,0.9486,0.0159,179,957
iqr,standard,0.9486,0.0159,179,957
iqr,none,0.9486,0.0159,179,957
