id,company,department,age,age_when_joined,years_in_the_company,salary,annual_bonus,prior_years_experience,full_time,part_time,contractor
1,Cheerper,Support,40,36,4,69420.46872,22586.99591,2,0,0.893809215,0.328591308
2,Cheerper,BigData,40,34,6,88407.04974,18676.07837,3,0.205947463,0.756631921,0.03687019
3,Pear,Sales,41,39,2,97831.84885,19287.87365,2,0.94230922,0,0.514456658
4,Glasses,Search Engine,39,33,6,93905.86813,17936.39297,3,0.484373034,0.236922437,0.278534923
5,Glasses,AI,39,35,3,105983.9752,16854.92943,3,0.835345879,0.308958053,0
6,Glasses,AI,49,48,1,71213.78266,14835.05528,2,0,0.162315299,0.986813828
7,Pear,Design,46,47,1,61625.47473,17394.00654,3,0.497540399,0,0.575885997
8,Glasses,BigData,48,47,1,60372.75608,21555.00964,1,0,0.637934605,0.803027976
9,Cheerper,BigData,41,33,9,66058.28203,13506.26572,2,0,0.728536051,0.276761211
10,Glasses,Design,47,43,3,76460.01262,11492.09272,4,0.491571794,0,0.554513858
11,Cheerper,Support,43,46,1,68121.66469,11945.31321,5,0,0.073316012,1
12,Cheerper,AI,30,22,9,153000,15736.07322,3,1,0.207429749,0
13,Pear,Design,30,25,2,135628.7696,21424.32751,3,0.800269147,0,0.22392347
14,Glasses,Design,45,39,6,130246.4717,17572.12509,2,0.72392161,0,0.531203112
15,Glasses,AI,43,39,4,95870.98847,16132.12335,3,0.892859471,0.383662951,0
16,Pear,AI,38,34,4,56879.54289,10015.83647,4,0.353407332,0,0.770132491
17,Cheerper,BigData,37,32,5,50203.64484,15669.4401,3,0.169344303,0.504820735,0.325773425
18,Glasses,Search Engine,31,29,2,69968.60113,12578.08364,4,0.399656334,0.215759357,0.384503712
19,Glasses,Design,31,22,9,137343.561,14723.79515,4,1,0.148299427,0
20,Cheerper,Support,37,29,8,96808.82448,16235.59188,1,0.06709164,1,0
21,Glasses,AI,42,37,5,99398.04205,24792.91,1,0.183167522,0.425399501,0.39145885
22,Glasses,AI,43,40,3,92863.07553,15224.61848,2,0.28547674,0.379963925,0.334458782
23,Cheerper,BigData,35,26,9,72804.85613,24792.91,1,0,0.929644881,0.103627401
24,Pear,Design,39,40,1,75430.77283,24792.91,1,0,0,1
25,Glasses,AI,30,28,2,104608.6748,16136.30326,3,0.974366708,0.171940354,0
26,Pear,AI,37,36,1,71301.90522,18462.60771,3,0.215850455,0,1
27,Cheerper,BigData,34,33,2,65359.62299,17541.92193,3,0,0.562300101,0.725728039
28,Pear,Design,48,46,3,95087.76758,17770.91351,3,0.58631246,0.032054919,0.381274824
29,Glasses,AI,45,40,5,93439.99721,24348.40088,1,0.23383465,0.434743592,0.331552567
30,Cheerper,Search Engine,49,47,3,88716.40183,15812.76118,2,0.351951505,0.572877598,0.075292786
31,Cheerper,BigData,45,38,7,51724.80256,22431.25849,1,0,1,0.216557195
32,Pear,Design,44,41,3,82481.29273,21375.77759,1,0.122484232,0.039260761,0.838556286
33,Glasses,Search Engine,34,27,7,76129.97835,18269.59859,2,0.144862386,0.758367409,0.096997297
34,Glasses,Search Engine,41,37,4,80857.80537,12869.17571,4,0.247024564,0.064049248,0.688992304
35,Glasses,Design,47,39,8,121134.3405,10601.47865,4,1,0,0
36,Pear,Sales,44,40,4,121774.4055,12474.84445,3,1,0,0.325454017
37,Glasses,Search Engine,41,37,4,52815.01832,13376.53034,3,0,0.401144274,0.608550908
38,Glasses,Search Engine,33,29,4,95933.01078,23055.09982,2,0.093747561,0.137618064,0.768945527
39,Glasses,AI,42,37,5,76066.7348,15355.49977,3,0.44350221,0.267985492,0.288585843
40,Glasses,Support,37,35,3,92311.26963,16205.10189,4,0.232973976,0.398785903,0.368244896
41,Glasses,AI,39,36,2,98638.87688,11901.31855,3,0.680426169,0.352171031,0
42,Glasses,BigData,37,32,5,40000,19258.8762,2,0,0.555642146,1
43,Glasses,Search Engine,39,34,5,57683.7257,11547.79103,5,0.281465909,0.186093947,0.532339693
44,Cheerper,Search Engine,48,47,2,98502.58668,16303.83907,3,0.559263704,0.654861726,0
45,Pear,Design,43,38,4,116768.4198,11306.57565,3,0.649648722,0,0.624319382
46,Cheerper,BigData,49,45,6,85093.34256,13914.5485,2,0,0.495460685,0.540674
47,Cheerper,Support,47,45,1,73185.42511,14240.65386,3,0,0.611277339,0.55302558
48,Cheerper,Support,34,33,1,77889.89611,21096.77306,3,0,0.882332263,0.15235433
49,Pear,Design,38,37,1,49644.62122,21190.72781,3,0,0,1
50,Cheerper,Support,33,26,7,40000,16621.92681,2,0,0.738085095,1
51,Cheerper,BigData,36,29,6,53829.46588,22618.46469,1,0,0.875353281,0.681213088
52,Cheerper,BigData,46,43,4,40000,19663.07122,1,0,0.526323413,0.759710236
53,Glasses,Search Engine,31,28,3,52335.53833,21661.39418,4,0.297028808,0.132881879,0.570387856
54,Cheerper,Search Engine,43,32,9,85436.55298,11842.42947,3,0.661274978,1,0
55,Pear,Design,36,31,5,95943.22916,24369.72896,1,0.525152267,0.204325198,0.270237286
56,Glasses,BigData,38,36,2,40000,22976.24011,2,0,0.403659907,1
